,path,name,country,culture,dateFrom,dateTo,economic,group,language,polalign,source,url
60,/Event/369326488/369616726/371936241,371936241,,,2016-01-30T10:59:00,2016-02-02T18:17:00,,369326488,,,pittsburghmagazine.com,
61,/Event/369326488/369616726/371934837,371934837,United-States,C4,2016-01-30T10:59:00,2016-02-02T18:28:00,C2,369326488,unknown,unknown,denverpost.com,unknown
62,/Event/369326488/369616726/371937424,371937424,United-States,C4,2016-01-30T10:59:00,2016-02-02T18:32:00,C2,369326488,English,unknown,reporterherald.com,unknown
63,/Event/369326488/369616726/371972975,371972975,United-States,C4,2016-01-30T10:59:00,2016-02-02T19:18:00,C2,369326488,unknown,unknown,hosted.ap.org,unknown
64,/Event/369326488/369616726/371969862,371969862,,,2016-01-30T10:59:00,2016-02-02T19:18:00,,369326488,,,footballoutsiders.com,
65,/Event/369326488/369616726/371971733,371971733,United-States,C4,2016-01-30T10:59:00,2016-02-02T19:21:00,C2,369326488,unknown,unknown,seattletimes.com,unknown
66,/Event/369326488/369616726/371974144,371974144,United-States,C4,2016-01-30T10:59:00,2016-02-02T19:24:00,C2,369326488,unknown,unknown,abcnews.go.com,unknown
67,/Event/369326488/369616726/371998176,371998176,United-States,C4,2016-01-30T10:59:00,2016-02-02T19:26:00,C2,369326488,unknown,unknown,washingtonpost.com,unknown
68,/Event/369326488/369616726/371992239,371992239,United-States,C4,2016-01-30T10:59:00,2016-02-02T19:52:00,C2,369326488,unknown,unknown,nytimes.com,unknown
69,/Event/369326488/369616726/372000448,372000448,United-States,C4,2016-01-30T10:59:00,2016-02-02T20:06:00,C2,369326488,unknown,unknown,tribtown.com,unknown
70,/Event/369326488/369616726/372003616,372003616,United-States,C4,2016-01-30T10:59:00,2016-02-02T20:11:00,C2,369326488,unknown,unknown,staradvertiser.com,unknown
71,/Event/369326488/369616726/372006453,372006453,,,2016-01-30T10:59:00,2016-02-02T20:15:00,,369326488,,,milehighsports.com,
72,/Event/369326488/369735096,369735096,,,2016-01-29T21:10:00,2016-01-30T16:12:00,,369326488,,,foxsports.com,
73,/Event/369326488/369750012,369750012,United-States,C4,2016-01-29T21:10:00,2016-01-30T16:47:00,C2,369326488,unknown,unknown,georgetownvoice.com,unknown
74,/Event/369326488/369759631,369759631,,,2016-01-29T21:10:00,2016-01-30T17:12:00,,369326488,,,scout.com,
75,/Event/369326488/369876861,369876861,,,2016-01-29T21:10:00,2016-01-30T23:28:00,,369326488,,,milehighsports.com,
76,/Event/369326488/369876861/369920769,369920769,,,2016-01-30T23:28:00,2016-01-31T02:02:00,,369326488,,,predominantlyorange.com,
