,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,continent,religions,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,linguisticblocs,politicalregionalblocs,economicblocs,militarydefenseblocs
64,/Event/7431873224/7431961419/7432031696,7432031696,India,IN,C18,2023-03-05T17:06:00,2023-03-05T18:21:00,C17,7431873224,eng,,business-standard.com,,AS,Hindu,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,
65,/Event/7431873224/7431961419/7433536869,7433536869,India,,,2023-03-05T17:06:00,2023-03-06T17:33:00,,7431873224,eng,,devdiscourse.com,,,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,
66,/Event/7431873224/7431961419/7433542902,7433542902,India,IN,C18,2023-03-05T17:06:00,2023-03-06T17:38:00,C17,7431873224,eng,,aninews.in,,AS,Hindu,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,
67,/Event/7431873224/7431961419/7434019491,7434019491,India,PK,C20,2023-03-05T17:06:00,2023-03-07T02:20:00,C5,7431873224,eng,,pakobserver.net,,AS,Muslim,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,
68,/Event/7431873224/7431961419/7434590358,7434590358,India,,,2023-03-05T17:06:00,2023-03-07T10:53:00,,7431873224,eng,,app.com.pk,,,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,
69,/Event/7431873224/7432013713,7432013713,,IN,C18,2023-03-05T15:35:00,2023-03-05T18:03:00,C17,7431873224,eng,,rediff.com,,AS,Hindu,,,,,,,,,,,,,,,,,,,,,,
70,/Event/7431873224/7432026841,7432026841,,,,2023-03-05T15:35:00,2023-03-05T18:17:00,,7431873224,eng,,daily-sun.com,,,,,,,,,,,,,,,,,,,,,,,,,
71,/Event/7431873224/7432026841/7432545706,7432545706,,PK,C20,2023-03-05T18:17:00,2023-03-06T05:45:00,C5,7431873224,eng,Center,dawn.com,ChatGPT,AS,Muslim,,,,,,,,,,,,,,,,,,,,,,
72,/Event/7431873224/7432027748,7432027748,,,,2023-03-05T15:35:00,2023-03-05T18:17:00,,7431873224,eng,,news.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,
73,/Event/7431873224/7432027748/7433964296,7433964296,,PK,C20,2023-03-05T18:17:00,2023-03-07T01:06:00,C5,7431873224,eng,,nation.com.pk,,AS,Muslim,,,,,,,,,,,,,,,,,,,,,,
74,/Event/7431873224/7432027748/7434908512,7434908512,,,,2023-03-05T18:17:00,2023-03-07T14:24:00,,7431873224,eng,,upi.com,,,,,,,,,,,,,,,,,,,,,,,,,
