,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,continent,religions,linguisticblocs,politicalregionalblocs,economicblocs,militarydefenseblocs
50,/Event/7894910222/7895917904/2023-12-201156926,2023-12-201156926,India,,,2023-12-20T10:45:31,2023-12-22T18:11:36,,7894910222,eng,,urdupoint.com,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,,,
51,/Event/7894910222/7895917904/7901017712,7901017712,India,,,2023-12-20T10:45:31,2023-12-23T12:35:04,,7894910222,eng,,app.com.pk,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,,,
52,/Event/7894910222/7895917904/2023-12-201749185,2023-12-201749185,India,PK,C20,2023-12-20T10:45:31,2023-12-23T12:57:40,C5,7894910222,eng,,dailyfrontierstar.com,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,AS,Muslim,,,,
53,/Event/7894910222/7895933279,7895933279,Pakistan,IN,C18,2023-12-19T19:33:15,2023-12-20T10:55:15,C17,7894910222,eng,Center-right,timesofindia.indiatimes.com,ChatGPT,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,AS,Hindu,,,,
54,/Event/7894910222/7895938706,7895938706,Pakistan,,,2023-12-19T19:33:15,2023-12-20T10:59:08,,7894910222,eng,,devdiscourse.com,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,,,,,,
55,/Event/7894910222/7896083650,7896083650,Pakistan,,,2023-12-19T19:33:15,2023-12-20T12:27:33,,7894910222,eng,,app.com.pk,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,,,,,,
56,/Event/7894910222/7896100405,7896100405,Pakistan,,,2023-12-19T19:33:15,2023-12-20T12:39:54,,7894910222,eng,,urdupoint.com,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,,,,,,
57,/Event/7894910222/7896142998,7896142998,Pakistan,PK,C20,2023-12-19T19:33:15,2023-12-20T13:06:14,C5,7894910222,eng,,arynews.tv,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,AS,Muslim,,,,
58,/Event/7894910222/7896539333,7896539333,Pakistan,,,2023-12-19T19:33:15,2023-12-20T17:23:28,,7894910222,eng,,app.com.pk,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,,,,,,
59,/Event/7894910222/7896804226,7896804226,Pakistan,PK,C20,2023-12-19T19:33:15,2023-12-20T21:07:33,C5,7894910222,eng,,nation.com.pk,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,AS,Muslim,,,,
60,/Event/7894910222/7897050103,7897050103,Pakistan,PK,C20,2023-12-19T19:33:15,2023-12-21T01:46:36,C5,7894910222,eng,,nation.com.pk,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,AS,Muslim,,,,
61,/Event/7894910222/7897050103/7898406221,7898406221,Pakistan,,,2023-12-21T01:46:36,2023-12-21T18:50:41,,7894910222,eng,,urdupoint.com,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,,,,,,
62,/Event/7894910222/7897050103/7899026450,7899026450,Pakistan,,,2023-12-21T01:46:36,2023-12-22T06:11:29,,7894910222,eng,,humnews.pk,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,,,,,,
63,/Event/7894910222/7897100555,7897100555,Pakistan,PK,C20,2023-12-19T19:33:15,2023-12-21T02:57:18,C5,7894910222,eng,Center-right,thenews.com.pk,ChatGPT,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,AS,Muslim,,,,
64,/Event/7894910222/7897108596,7897108596,Pakistan,PK,C20,2023-12-19T19:33:15,2023-12-21T03:01:31,C5,7894910222,eng,Center-right,thenews.com.pk,ChatGPT,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,AS,Muslim,,,,
65,/Event/7894910222/7897220978,7897220978,Pakistan,PK,C20,2023-12-19T19:33:15,2023-12-21T05:08:35,C5,7894910222,eng,,tribune.com.pk,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,AS,Muslim,,,,
66,/Event/7894910222/7897534697,7897534697,Pakistan,PK-UAE,,2023-12-19T19:33:15,2023-12-21T09:12:25,,7894910222,eng,,geo.tv,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,AS,Muslim,,,,
67,/Event/7894910222/7897598603,7897598603,Pakistan,PK,C20,2023-12-19T19:33:15,2023-12-21T09:53:46,C5,7894910222,eng,,tribune.com.pk,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,AS,Muslim,,,,
68,/Event/7894910222/7897679708,7897679708,Pakistan,PK,C20,2023-12-19T19:33:15,2023-12-21T10:44:20,C5,7894910222,eng,Center,dawn.com,ChatGPT,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,AS,Muslim,,,,
69,/Event/7894910222/7897762963,7897762963,Pakistan,,,2023-12-19T19:33:15,2023-12-21T11:35:37,,7894910222,eng,,theprint.in,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,,,,,,
70,/Event/7894910222/7897765743,7897765743,Pakistan,,,2023-12-19T19:33:15,2023-12-21T11:37:36,,7894910222,eng,,latestly.com,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,,,,,,
71,/Event/7894910222/7897834041,7897834041,Pakistan,,,2023-12-19T19:33:15,2023-12-21T12:20:31,,7894910222,eng,,moneycontrol.com,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,,,,,,
72,/Event/7894910222/7897867899,7897867899,Pakistan,PK,C20,2023-12-19T19:33:15,2023-12-21T12:41:10,C5,7894910222,eng,,arynews.tv,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,AS,Muslim,,,,
73,/Event/7894910222/7898015693,7898015693,Pakistan,PK,C20,2023-12-19T19:33:15,2023-12-21T14:15:37,C5,7894910222,eng,,khybernews.tv,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,AS,Muslim,,,,
74,/Event/7894910222/7898034372,7898034372,Pakistan,PK,C20,2023-12-19T19:33:15,2023-12-21T14:26:48,C5,7894910222,eng,,en.dailypakistan.com.pk,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,AS,Muslim,,,,
75,/Event/7894910222/7898159405,7898159405,Pakistan,,,2023-12-19T19:33:15,2023-12-21T15:48:26,,7894910222,eng,,radio.gov.pk,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,,,,,,
