,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,continent,economicblocs,religions,linguisticblocs,militarydefenseblocs,politicalregionalblocs,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance
75,/Event/7443550343/7444327003,7444327003,,IN,C18,2023-03-12T21:44:00,2023-03-13T10:06:00,C17,7443550343,eng,,thehindu.com,,AS,,Hindu,,,,,,,,,,,,,,,,,,,,,
76,/Event/7443550343/7444321195,7444321195,,TR,C14,2023-03-12T21:44:00,2023-03-13T10:18:00,C12,7443550343,eng,,aa.com.tr,,AS,,Muslim,,NATO,,,,,,,,,,,,,,,,,,,
77,/Event/7443550343/7444375035,7444375035,,,,2023-03-12T21:44:00,2023-03-13T10:34:00,,7443550343,eng,,euromaidanpress.com,,,,,,,,,,,,,,,,,,,,,,,,,
78,/Event/7443550343/7444399448,7444399448,,,,2023-03-12T21:44:00,2023-03-13T10:50:00,,7443550343,eng,,ukrinform.net,,,,,,,,,,,,,,,,,,,,,,,,,
79,/Event/7443550343/7444432130,7444432130,,FR,C14,2023-03-12T21:44:00,2023-03-13T11:09:00,C2,7443550343,eng,,euronews.com,,EU,EU,Christian,Fre,NATO,,,,,,,,,,,,,,,,,,,
80,/Event/7443550343/7444454647,7444454647,,USA,C4,2023-03-12T21:44:00,2023-03-13T11:22:00,C2,7443550343,eng,,bloomberg.com,,,NAFTA,Christian,Eng,NATO,,,,,,,,,,,,,,,,,,,
81,/Event/7443550343/7444458696,7444458696,,,,2023-03-12T21:44:00,2023-03-13T11:24:00,,7443550343,eng,,bnnbloomberg.ca,,,,,,,,,,,,,,,,,,,,,,,,,
82,/Event/7443550343/7444469504,7444469504,,,,2023-03-12T21:44:00,2023-03-13T11:31:00,,7443550343,eng,,en.haberler.com,,,,,,,,,,,,,,,,,,,,,,,,,
83,/Event/7443550343/7444469213,7444469213,,USA,C4,2023-03-12T21:44:00,2023-03-13T11:31:00,C2,7443550343,eng,,usanews.net,,,NAFTA,Christian,Eng,NATO,,,,,,,,,,,,,,,,,,,
84,/Event/7443550343/7444486733,7444486733,,IN,C18,2023-03-12T21:44:00,2023-03-13T11:42:00,C17,7443550343,eng,,hindustantimes.com,,AS,,Hindu,,,,,,,,,,,,,,,,,,,,,
