,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,continent,linguisticblocs,militarydefenseblocs,religions,economicblocs,politicalregionalblocs
55,/Event/7443313919/7443315158/7444481392,7444481392,United-Kingdom,UK,,2023-03-12T17:20:00,2023-03-13T11:38:00,,7443313919,eng,,glasgowtimes.co.uk,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
56,/Event/7443313919/7443315158/7444492875,7444492875,United-Kingdom,,,2023-03-12T17:20:00,2023-03-13T11:45:00,,7443313919,eng,,sportbible.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
57,/Event/7443313919/7443315158/7444519739,7444519739,United-Kingdom,UK,C4,2023-03-12T17:20:00,2023-03-13T12:02:00,C2,7443313919,eng,,standard.co.uk,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
58,/Event/7443313919/7443315158/7444607740,7444607740,United-Kingdom,,,2023-03-12T17:20:00,2023-03-13T12:55:00,,7443313919,eng,,sportskeeda.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
59,/Event/7443313919/7443315158/7444641784,7444641784,United-Kingdom,,,2023-03-12T17:20:00,2023-03-13T13:16:00,,7443313919,eng,,espn.co.uk,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
60,/Event/7443313919/7443315158/7444661006,7444661006,United-Kingdom,,,2023-03-12T17:20:00,2023-03-13T13:27:00,,7443313919,eng,,marca.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
61,/Event/7443313919/7443315158/7444703616,7444703616,United-Kingdom,,,2023-03-12T17:20:00,2023-03-13T13:54:00,,7443313919,eng,,tribalfootball.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
62,/Event/7443313919/7443315158/7444726141,7444726141,United-Kingdom,,,2023-03-12T17:20:00,2023-03-13T14:08:00,,7443313919,eng,,sportskeeda.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
63,/Event/7443313919/7443315158/7444759268,7444759268,United-Kingdom,,,2023-03-12T17:20:00,2023-03-13T14:28:00,,7443313919,eng,,hitc.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
64,/Event/7443313919/7443315158/7444765866,7444765866,United-Kingdom,,,2023-03-12T17:20:00,2023-03-13T14:33:00,,7443313919,eng,,football.london,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
65,/Event/7443313919/7443315158/7444835056,7444835056,United-Kingdom,UK,C4,2023-03-12T17:20:00,2023-03-13T15:16:00,C2,7443313919,eng,,goal.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
66,/Event/7443313919/7443315158/7444844963,7444844963,United-Kingdom,,,2023-03-12T17:20:00,2023-03-13T15:23:00,,7443313919,eng,,football.london,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
67,/Event/7443313919/7443315158/7444855450,7444855450,United-Kingdom,,,2023-03-12T17:20:00,2023-03-13T15:29:00,,7443313919,eng,,hitc.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
68,/Event/7443313919/7443315158/7444867150,7444867150,United-Kingdom,UK,C4,2023-03-12T17:20:00,2023-03-13T15:36:00,C2,7443313919,eng,Center-left,mirror.co.uk,ChatGPT,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
69,/Event/7443313919/7443315158/7444918152,7444918152,United-Kingdom,,,2023-03-12T17:20:00,2023-03-13T16:10:00,,7443313919,eng,,football.london,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
70,/Event/7443313919/7443315158/7444926593,7444926593,United-Kingdom,,,2023-03-12T17:20:00,2023-03-13T16:16:00,,7443313919,eng,,hitc.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
71,/Event/7443313919/7443315158/7444946167,7444946167,United-Kingdom,,,2023-03-12T17:20:00,2023-03-13T16:30:00,,7443313919,eng,,sportskeeda.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
72,/Event/7443313919/7443315158/7444991030,7444991030,United-Kingdom,UK,C4,2023-03-12T17:20:00,2023-03-13T17:01:00,C2,7443313919,eng,,metro.co.uk,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
73,/Event/7443313919/7443315158/7445078843,7445078843,United-Kingdom,USA,C4,2023-03-12T17:20:00,2023-03-13T18:06:00,C2,7443313919,eng,,theathletic.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,Eng,NATO,Christian,NAFTA,
74,/Event/7443313919/7443315158/7445082176,7445082176,United-Kingdom,,,2023-03-12T17:20:00,2023-03-13T18:08:00,,7443313919,eng,,dailycannon.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
75,/Event/7443313919/7443315158/7445097537,7445097537,United-Kingdom,UK,C4,2023-03-12T17:20:00,2023-03-13T18:20:00,C2,7443313919,eng,,metro.co.uk,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
76,/Event/7443313919/7443315158/7445156611,7445156611,United-Kingdom,,,2023-03-12T17:20:00,2023-03-13T19:08:00,,7443313919,eng,,dailycannon.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
77,/Event/7443313919/7443315158/7445161302,7445161302,United-Kingdom,IE,C4,2023-03-12T17:20:00,2023-03-13T19:12:00,C2,7443313919,eng,,irishtimes.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,,Christian,EU,
78,/Event/7443313919/7443315158/7445214640,7445214640,United-Kingdom,,,2023-03-12T17:20:00,2023-03-13T20:02:00,,7443313919,eng,,hitc.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
79,/Event/7443313919/7443315158/7445225427,7445225427,United-Kingdom,NG,C12,2023-03-12T17:20:00,2023-03-13T20:11:00,C5,7443313919,eng,,dailypost.ng,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,AF,,,Muslim,AfCFTA,AU
80,/Event/7443313919/7443315158/7445351871,7445351871,United-Kingdom,UK,C4,2023-03-12T17:20:00,2023-03-13T22:09:00,C2,7443313919,eng,Center-left,thesun.co.uk,ChatGPT,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
81,/Event/7443313919/7443315158/7445437339,7445437339,United-Kingdom,ZW,,2023-03-12T17:20:00,2023-03-13T23:50:00,C8,7443313919,eng,Pro-government,herald.co.zw,ChatGPT,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,AF,,,Christian,,AU
82,/Event/7443313919/7443315158/7445494849,7445494849,United-Kingdom,UK,C4,2023-03-12T17:20:00,2023-03-14T00:59:00,C2,7443313919,eng,Center-left,dailymail.co.uk,ChatGPT,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
83,/Event/7443313919/7443315158/7445653570,7445653570,United-Kingdom,,,2023-03-12T17:20:00,2023-03-14T04:09:00,,7443313919,eng,,football.london,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
84,/Event/7443313919/7443315158/7445771984,7445771984,United-Kingdom,,,2023-03-12T17:20:00,2023-03-14T06:07:00,,7443313919,eng,,football.london,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
85,/Event/7443313919/7443315158/7445811167,7445811167,United-Kingdom,,,2023-03-12T17:20:00,2023-03-14T06:36:00,,7443313919,eng,,hitc.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
86,/Event/7443313919/7443315158/7445863233,7445863233,United-Kingdom,,,2023-03-12T17:20:00,2023-03-14T07:15:00,,7443313919,eng,,hitc.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
87,/Event/7443313919/7443315158/7445895429,7445895429,United-Kingdom,,,2023-03-12T17:20:00,2023-03-14T07:39:00,,7443313919,eng,,football.london,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
88,/Event/7443313919/7443315158/7445971994,7445971994,United-Kingdom,,,2023-03-12T17:20:00,2023-03-14T08:31:00,,7443313919,eng,,hitc.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
89,/Event/7443313919/7443315158/7446020146,7446020146,United-Kingdom,UK,C4,2023-03-12T17:20:00,2023-03-14T09:03:00,C2,7443313919,eng,,mirror.co.uk,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
90,/Event/7443313919/7443315158/7446031559,7446031559,United-Kingdom,,,2023-03-12T17:20:00,2023-03-14T09:09:00,,7443313919,eng,,justarsenal.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
91,/Event/7443313919/7443315158/7446046679,7446046679,United-Kingdom,,,2023-03-12T17:20:00,2023-03-14T09:19:00,,7443313919,eng,,irishmirror.ie,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
92,/Event/7443313919/7443315158/7446104323,7446104323,United-Kingdom,,,2023-03-12T17:20:00,2023-03-14T09:55:00,,7443313919,eng,,paininthearsenal.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
93,/Event/7443313919/7443315158/7446202152,7446202152,United-Kingdom,UK,C4,2023-03-12T17:20:00,2023-03-14T10:53:00,C2,7443313919,eng,Center-left,thesun.co.uk,ChatGPT,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
94,/Event/7443313919/7443315158/7446686639,7446686639,United-Kingdom,,,2023-03-12T17:20:00,2023-03-14T15:45:00,,7443313919,eng,,sportbible.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
95,/Event/7443313919/7443315158/7447170867,7447170867,United-Kingdom,,,2023-03-12T17:20:00,2023-03-14T22:01:00,,7443313919,eng,,givemesport.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
96,/Event/7443313919/7443319748,7443319748,United-Kingdom,,,2023-03-12T17:19:00,2023-03-12T17:25:00,,7443313919,eng,,irishmirror.ie,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
97,/Event/7443313919/7443319748/7443329715,7443329715,,,,2023-03-12T17:25:00,2023-03-12T17:38:00,,7443313919,eng,,hjnews.com,,,,,,,,,,,,,,,,,,,,,,,,,
98,/Event/7443313919/7443319748/7443357339,7443357339,,,,2023-03-12T17:25:00,2023-03-12T18:03:00,,7443313919,eng,,arsenal.com,,,,,,,,,,,,,,,,,,,,,,,,,
99,/Event/7443313919/7443319748/7443390946,7443390946,,,,2023-03-12T17:25:00,2023-03-12T18:38:00,,7443313919,eng,,urdupoint.com,,,,,,,,,,,,,,,,,,,,,,,,,
100,/Event/7443313919/7443319748/7443435371,7443435371,,,,2023-03-12T17:25:00,2023-03-12T19:25:00,,7443313919,eng,,urdupoint.com,,,,,,,,,,,,,,,,,,,,,,,,,
101,/Event/7443313919/7443319748/7443444646,7443444646,,,C20,2023-03-12T17:25:00,2023-03-12T19:37:00,C16,7443313919,eng,Center-left,namibian.com.na,ChatGPT,,,,,,,,,,,,,,,,,,,AF,,,Christian,AfCFTA,AU
102,/Event/7443313919/7443319748/7443491001,7443491001,,AU,C4,2023-03-12T17:25:00,2023-03-12T20:30:00,C2,7443313919,eng,,foxsports.com.au,,,,,,,,,,,,,,,,,,,,AU,Eng,,Christian,,PIF
103,/Event/7443313919/7443319748/7443492075,7443492075,,UK,C4,2023-03-12T17:25:00,2023-03-12T20:31:00,C2,7443313919,eng,Center-left,dailymail.co.uk,ChatGPT,,,,,,,,,,,,,,,,,,,EU,Eng,NATO,Christian,,
104,/Event/7443313919/7443319748/7443504694,7443504694,,QA,C19,2023-03-12T17:25:00,2023-03-12T20:47:00,C9,7443313919,eng,pro-Qatari-government-center-right,gulf-times.com,ChatGPT,,,,,,,,,,,,,,,,,,,AS,Ara,,Muslim,,AL
