,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,continent,linguisticblocs,militarydefenseblocs,religions,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,economicblocs,politicalregionalblocs
48,/Event/7442714159/7442744643/7444881402,7444881402,,,,2023-03-12T08:32:00,2023-03-13T15:46:00,,7442714159,eng,,thezimbabwemail.com,,,,,,,,,,,,,,,,,,,,,,,,,
49,/Event/7442714159/7442744643/7444881402/7445004220,7445004220,,ZA,C4,2023-03-13T15:46:00,2023-03-13T17:09:00,C17,7442714159,eng,,news24.com,,AF,,,Christian,,,,,,,,,,,,,,,,,,,AfCFTA,AU
50,/Event/7442714159/7442744643/7444917754,7444917754,,IN,C18,2023-03-12T08:32:00,2023-03-13T16:10:00,C17,7442714159,eng,,firstpost.com,,AS,,,Hindu,,,,,,,,,,,,,,,,,,,,
51,/Event/7442714159/7442744643/7444921020,7444921020,,ZA,C4,2023-03-12T08:32:00,2023-03-13T16:12:00,C17,7442714159,eng,,news24.com,,AF,,,Christian,,,,,,,,,,,,,,,,,,,AfCFTA,AU
52,/Event/7442714159/7442744643/7444975579,7444975579,,IN,C18,2023-03-12T08:32:00,2023-03-13T16:49:00,C17,7442714159,eng,Center-left,indianexpress.com,ChatGPT,AS,,,Hindu,,,,,,,,,,,,,,,,,,,,
53,/Event/7442714159/7442744643/7444998689,7444998689,,,,2023-03-12T08:32:00,2023-03-13T17:09:00,,7442714159,eng,,msn.com,,,,,,,,,,,,,,,,,,,,,,,,,
54,/Event/7442714159/7442744643/7445056739,7445056739,,AU,C4,2023-03-12T08:32:00,2023-03-13T17:48:00,C2,7442714159,eng,Center-left-liberal,smh.com.au,ChatGPT,AU,Eng,,Christian,,,,,,,,,,,,,,,,,,,,PIF
55,/Event/7442714159/7442744643/7445151088,7445151088,,CA,C4,2023-03-12T08:32:00,2023-03-13T19:04:00,C2,7442714159,eng,,cbc.ca,,,Eng,NATO,Christian,,,,,,,,,,,,,,,,,,,NAFTA,
56,/Event/7442714159/7442744643/7445155476,7445155476,,,,2023-03-12T08:32:00,2023-03-13T19:09:00,,7442714159,eng,,devdiscourse.com,,,,,,,,,,,,,,,,,,,,,,,,,
57,/Event/7442714159/7442744643/7445187499,7445187499,,,,2023-03-12T08:32:00,2023-03-13T19:37:00,,7442714159,eng,,msn.com,,,,,,,,,,,,,,,,,,,,,,,,,
58,/Event/7442714159/7442744643/7445195040,7445195040,,NG,C12,2023-03-12T08:32:00,2023-03-13T19:42:00,C5,7442714159,eng,,nairaland.com,,AF,,,Muslim,,,,,,,,,,,,,,,,,,,AfCFTA,AU
59,/Event/7442714159/7442744643/7445207890,7445207890,,AU,C4,2023-03-12T08:32:00,2023-03-13T19:55:00,C2,7442714159,eng,,au.news.yahoo.com,,AU,Eng,,Christian,,,,,,,,,,,,,,,,,,,,PIF
60,/Event/7442714159/7442744643/7445207890/7446696158,7446696158,Australia,,,2023-03-13T19:55:00,2023-03-14T15:51:00,,7442714159,eng,,kion546.com,,,,,,best,best,best,best,best,high,high,best,best,low,best,high,best,best,low,best,best,high,,
61,/Event/7442714159/7442744643/7445214046,7445214046,,,,2023-03-12T08:32:00,2023-03-13T20:01:00,,7442714159,eng,,abc.net.au,,,,,,,,,,,,,,,,,,,,,,,,,
62,/Event/7442714159/7442744643/7445245195,7445245195,,,,2023-03-12T08:32:00,2023-03-13T20:27:00,,7442714159,eng,,poandpo.com,,,,,,,,,,,,,,,,,,,,,,,,,
63,/Event/7442714159/7442744643/7445245195/7445555021,7445555021,,ZA,C4,2023-03-13T20:27:00,2023-03-14T02:12:00,C17,7442714159,eng,,dailymaverick.co.za,,AF,,,Christian,,,,,,,,,,,,,,,,,,,AfCFTA,AU
64,/Event/7442714159/7442744643/7445265835,7445265835,,USA,C4,2023-03-12T08:32:00,2023-03-13T20:46:00,C2,7442714159,eng,,nypost.com,,,Eng,NATO,Christian,,,,,,,,,,,,,,,,,,,NAFTA,
65,/Event/7442714159/7442744643/7445312677,7445312677,,UK,C4,2023-03-12T08:32:00,2023-03-13T21:29:00,C2,7442714159,eng,Center-left,theguardian.com,ChatGPT,EU,Eng,NATO,Christian,,,,,,,,,,,,,,,,,,,,
66,/Event/7442714159/7442744643/7445438789,7445438789,,,,2023-03-12T08:32:00,2023-03-13T23:52:00,,7442714159,eng,,zwnews.com,,,,,,,,,,,,,,,,,,,,,,,,,
67,/Event/7442714159/7442744643/7445445590,7445445590,,,,2023-03-12T08:32:00,2023-03-14T00:02:00,,7442714159,eng,,independent.ng,,,,,,,,,,,,,,,,,,,,,,,,,
68,/Event/7442714159/7442744643/7445596375,7445596375,,,,2023-03-12T08:32:00,2023-03-14T03:04:00,,7442714159,eng,,chinadailyhk.com,,,,,,,,,,,,,,,,,,,,,,,,,
69,/Event/7442714159/7442744643/7445650824,7445650824,,USA,C4,2023-03-12T08:32:00,2023-03-14T04:07:00,C2,7442714159,eng,Center-left,washingtonpost.com,ChatGPT,,Eng,NATO,Christian,,,,,,,,,,,,,,,,,,,NAFTA,
70,/Event/7442714159/7442744643/7445663166,7445663166,,FR,C14,2023-03-12T08:32:00,2023-03-14T04:19:00,C2,7442714159,eng,Public broadcaster,france24.com,ChatGPT,EU,Fre,NATO,Christian,,,,,,,,,,,,,,,,,,,EU,
71,/Event/7442714159/7442744643/7445671903,7445671903,,,,2023-03-12T08:32:00,2023-03-14T04:29:00,,7442714159,eng,,ariananews.af,,,,,,,,,,,,,,,,,,,,,,,,,
72,/Event/7442714159/7442744643/7445755803,7445755803,,LK,C17,2023-03-12T08:32:00,2023-03-14T05:54:00,C18,7442714159,eng,,sundayobserver.lk,,AS,,,Buddhist,,,,,,,,,,,,,,,,,,,,
