,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,continent,economicblocs,linguisticblocs,politicalregionalblocs,religions,militarydefenseblocs
96,/Event/7434803497/7434922097/7435371524,7435371524,,IL,C9,2023-03-07T14:33:00,2023-03-07T20:25:00,C1,7434803497,eng,Center,timesofisrael.com,ChatGPT,,,,,,,,,,,,,,,,,,,AS,,,,Jewish,
97,/Event/7434803497/7434922097/7435378327,7435378327,,,,2023-03-07T14:33:00,2023-03-07T20:31:00,,7434803497,eng,,shorenewsnetwork.com,,,,,,,,,,,,,,,,,,,,,,,,,
98,/Event/7434803497/7434922097/7435396109,7435396109,,TR,C14,2023-03-07T14:33:00,2023-03-07T20:51:00,C12,7434803497,eng,,trtworld.com,,,,,,,,,,,,,,,,,,,,AS,,,,Muslim,NATO
99,/Event/7434803497/7434922097/7435423725,7435423725,,USA,C4,2023-03-07T14:33:00,2023-03-07T21:15:00,C2,7434803497,eng,,arcamax.com,,,,,,,,,,,,,,,,,,,,,NAFTA,Eng,,Christian,NATO
100,/Event/7434803497/7434922097/7435424179,7435424179,,IE,C4,2023-03-07T14:33:00,2023-03-07T21:15:00,C2,7434803497,eng,,thejournal.ie,,,,,,,,,,,,,,,,,,,,EU,EU,Eng,,Christian,
101,/Event/7434803497/7434922097/7435426376,7435426376,,,,2023-03-07T14:33:00,2023-03-07T21:17:00,,7434803497,eng,,en.haberler.com,,,,,,,,,,,,,,,,,,,,,,,,,
102,/Event/7434803497/7434922097/7435426376/7435958302,7435958302,,USA,C4,2023-03-07T21:17:00,2023-03-08T06:05:00,C2,7434803497,eng,Center-left,nytimes.com,ChatGPT,,,,,,,,,,,,,,,,,,,,NAFTA,Eng,,Christian,NATO
103,/Event/7434803497/7434922097/7435456932,7435456932,,SG,C18,2023-03-07T14:33:00,2023-03-07T22:09:00,C2,7434803497,eng,Center-right,straitstimes.com,ChatGPT,,,,,,,,,,,,,,,,,,,AS,ASEAN,,,Buddhist,
104,/Event/7434803497/7434922097/7435450262,7435450262,,,,2023-03-07T14:33:00,2023-03-07T22:09:00,,7434803497,eng,,electronicintifada.net,,,,,,,,,,,,,,,,,,,,,,,,,
105,/Event/7434803497/7434922097/7435196307,7435196307,,CY,,2023-03-07T14:33:00,2023-03-07T22:39:00,C4,7434803497,eng,,cyprus-mail.com,,,,,,,,,,,,,,,,,,,,EU,EU,,,Christian,
106,/Event/7434803497/7434922097/7434740328,7434740328,,IL,C9,2023-03-07T14:33:00,2023-03-07T22:59:00,C1,7434803497,eng,Center,timesofisrael.com,ChatGPT,,,,,,,,,,,,,,,,,,,AS,,,,Jewish,
107,/Event/7434803497/7434922097/7435578560,7435578560,,PH,C18,2023-03-07T14:33:00,2023-03-07T23:00:00,C18,7434803497,eng,,newsinfo.inquirer.net,,,,,,,,,,,,,,,,,,,,AS,ASEAN,,,Christian,
108,/Event/7434803497/7434922097/7435579405,7435579405,,FR,C14,2023-03-07T14:33:00,2023-03-07T23:02:00,C2,7434803497,eng,Public broadcaster,france24.com,ChatGPT,,,,,,,,,,,,,,,,,,,EU,EU,Fre,,Christian,NATO
109,/Event/7434803497/7434922097/7435602144,7435602144,,USA,C4,2023-03-07T14:33:00,2023-03-07T23:25:00,C2,7434803497,eng,,channelnewsasia.com,,,,,,,,,,,,,,,,,,,,,NAFTA,Eng,,Christian,NATO
110,/Event/7434803497/7434922097/7435608263,7435608263,,UK,C4,2023-03-07T14:33:00,2023-03-07T23:32:00,C2,7434803497,eng,,english.aawsat.com,,,,,,,,,,,,,,,,,,,,EU,,Eng,,Christian,NATO
111,/Event/7434803497/7434922097/7435625483,7435625483,,NG,C12,2023-03-07T14:33:00,2023-03-07T23:52:00,C5,7434803497,eng,,tribuneonlineng.com,,,,,,,,,,,,,,,,,,,,AF,AfCFTA,,AU,Muslim,
112,/Event/7434803497/7434922097/7435630701,7435630701,,,,2023-03-07T14:33:00,2023-03-07T23:59:00,,7434803497,eng,,brudirect.com,,,,,,,,,,,,,,,,,,,,,,,,,
113,/Event/7434803497/7434922097/7435655476,7435655476,,USA,C4,2023-03-07T14:33:00,2023-03-08T00:26:00,C2,7434803497,eng,Center-left,nbcnews.com,ChatGPT,,,,,,,,,,,,,,,,,,,,NAFTA,Eng,,Christian,NATO
114,/Event/7434803497/7434922097/7435687069,7435687069,,PK,C20,2023-03-07T14:33:00,2023-03-08T01:04:00,C5,7434803497,eng,Center-right,thenews.com.pk,ChatGPT,,,,,,,,,,,,,,,,,,,AS,,,,Muslim,
115,/Event/7434803497/7434922097/7435738373,7435738373,,,,2023-03-07T14:33:00,2023-03-08T02:02:00,,7434803497,eng,,chinadailyhk.com,,,,,,,,,,,,,,,,,,,,,,,,,
116,/Event/7434803497/7434922097/7435758285,7435758285,,,,2023-03-07T14:33:00,2023-03-08T02:25:00,,7434803497,eng,,devdiscourse.com,,,,,,,,,,,,,,,,,,,,,,,,,
117,/Event/7434803497/7434922097/7435765515,7435765515,,USA,C4,2023-03-07T14:33:00,2023-03-08T02:34:00,C2,7434803497,eng,,lasvegassun.com,,,,,,,,,,,,,,,,,,,,,NAFTA,Eng,,Christian,NATO
118,/Event/7434803497/7434922097/7435771255,7435771255,,ZA,C4,2023-03-07T14:33:00,2023-03-08T02:42:00,C17,7434803497,eng,,dailymaverick.co.za,,,,,,,,,,,,,,,,,,,,AF,AfCFTA,,AU,Christian,
