,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,continent,militarydefenseblocs,politicalregionalblocs,religions
90,/Event/7444355414/7444914243,7444914243,,,,2023-03-13T10:24:00,2023-03-13T16:08:00,,7444355414,rus,,sports.ru,,,,,
91,/Event/7444355414/7444916557,7444916557,,,,2023-03-13T10:24:00,2023-03-13T16:09:00,,7444355414,rus,,ua-football.com,,,,,
92,/Event/7444355414/7444915193,7444915193,,,,2023-03-13T10:24:00,2023-03-13T16:10:00,,7444355414,rus,,gazeta.uz,,,,,
93,/Event/7444355414/7444917099,7444917099,,RU,C16,2023-03-13T10:24:00,2023-03-13T16:10:00,C12,7444355414,rus,,russian.rt.com,,AS,CSTO,CIS,Christian
94,/Event/7444355414/7444977258,7444977258,,RU,C16,2023-03-13T10:24:00,2023-03-13T16:51:00,C12,7444355414,rus,,aif.ru,,AS,CSTO,CIS,Christian
95,/Event/7444355414/7444996166,7444996166,,,,2023-03-13T10:24:00,2023-03-13T17:05:00,,7444355414,rus,,zn.ua,,,,,
96,/Event/7444355414/7445010047,7445010047,,,,2023-03-13T10:24:00,2023-03-13T17:13:00,,7444355414,rus,,matchtv.ru,,,,,
97,/Event/7444355414/7445019346,7445019346,,,,2023-03-13T10:24:00,2023-03-13T17:20:00,,7444355414,rus,,championat.com,,,,,
98,/Event/7444355414/7445050283,7445050283,,RU,C16,2023-03-13T10:24:00,2023-03-13T17:44:00,C12,7444355414,rus,Independent,kommersant.ru,ChatGPT,AS,CSTO,CIS,Christian
99,/Event/7444355414/7445119085,7445119085,,,,2023-03-13T10:24:00,2023-03-13T18:37:00,,7444355414,rus,,news.sportbox.ru,,,,,
100,/Event/7444355414/7445132969,7445132969,,,,2023-03-13T10:24:00,2023-03-13T18:49:00,,7444355414,rus,,matchtv.ru,,,,,
101,/Event/7444355414/7445189944,7445189944,,,,2023-03-13T10:24:00,2023-03-13T19:38:00,,7444355414,rus,,news.sportbox.ru,,,,,
102,/Event/7444355414/7445199008,7445199008,,RU,C16,2023-03-13T10:24:00,2023-03-13T19:47:00,C12,7444355414,rus,,russian.rt.com,,AS,CSTO,CIS,Christian
103,/Event/7444355414/7445242196,7445242196,,,,2023-03-13T10:24:00,2023-03-13T20:24:00,,7444355414,rus,,ru.oxu.az,,,,,
104,/Event/7444355414/7445255569,7445255569,,,,2023-03-13T10:24:00,2023-03-13T20:36:00,,7444355414,rus,,news.sportbox.ru,,,,,
105,/Event/7444355414/7445289807,7445289807,,,,2023-03-13T10:24:00,2023-03-13T21:07:00,,7444355414,rus,,sportrbc.ru,,,,,
