,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,continent,linguisticblocs,militarydefenseblocs,religions,politicalregionalblocs,economicblocs
46,/Event/7440345427/7440451821/7441586185/7442584995,7442584995,India,,,2023-03-11T10:34:00,2023-03-12T05:45:00,,7440345427,eng,,nampa.org,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
47,/Event/7440345427/7440451821/7441586185/7442607283,7442607283,India,,,2023-03-11T10:34:00,2023-03-12T06:12:00,,7440345427,eng,,laprensalatina.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
48,/Event/7440345427/7440451821/7441586185/7442611742,7442611742,India,,,2023-03-11T10:34:00,2023-03-12T06:17:00,,7440345427,eng,,japannews.yomiuri.co.jp,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
49,/Event/7440345427/7440451821/7441586185/7442629422,7442629422,India,,,2023-03-11T10:34:00,2023-03-12T06:38:00,,7440345427,eng,,northernirelandnews.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
50,/Event/7440345427/7440451821/7441586185/7442641464,7442641464,India,,,2023-03-11T10:34:00,2023-03-12T06:50:00,,7440345427,eng,,tech.hindustantimes.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
51,/Event/7440345427/7440451821/7441586185/7442650130,7442650130,India,,,2023-03-11T10:34:00,2023-03-12T07:00:00,,7440345427,eng,,india.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
52,/Event/7440345427/7440451821/7441586185/7442662513,7442662513,India,,,2023-03-11T10:34:00,2023-03-12T07:15:00,,7440345427,eng,,todayheadline.co,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
53,/Event/7440345427/7440451821/7441586185/7442767026,7442767026,India,USA,C4,2023-03-11T10:34:00,2023-03-12T08:54:00,C2,7440345427,eng,,markets.businessinsider.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,Eng,NATO,Christian,,NAFTA
54,/Event/7440345427/7440451821/7441586185/7442782788,7442782788,India,,,2023-03-11T10:34:00,2023-03-12T09:08:00,,7440345427,eng,,abc57.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
55,/Event/7440345427/7440451821/7441586185/7442785236,7442785236,India,USA,C4,2023-03-11T10:34:00,2023-03-12T09:10:00,C2,7440345427,eng,,pantagraph.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,Eng,NATO,Christian,,NAFTA
56,/Event/7440345427/7440451821/7441586185/7442792855,7442792855,India,,,2023-03-11T10:34:00,2023-03-12T09:17:00,,7440345427,eng,,spacedaily.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
57,/Event/7440345427/7440451821/7441586185/7442890098,7442890098,India,,,2023-03-11T10:34:00,2023-03-12T10:49:00,,7440345427,eng,,exbulletin.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
58,/Event/7440345427/7440451821/7441586185/7442919323,7442919323,India,UK,C4,2023-03-11T10:34:00,2023-03-12T11:13:00,C2,7440345427,eng,Center-left,thesun.co.uk,ChatGPT,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,EU,Eng,NATO,Christian,,
59,/Event/7440345427/7440451821/7441586185/7442931167,7442931167,India,,,2023-03-11T10:34:00,2023-03-12T11:23:00,,7440345427,eng,,manilastandard.net,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
60,/Event/7440345427/7440451821/7441586185/7442995950,7442995950,India,,,2023-03-11T10:34:00,2023-03-12T12:22:00,,7440345427,eng,,kiro7.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
61,/Event/7440345427/7440451821/7441586185/7443029460,7443029460,India,AE,C19,2023-03-11T10:34:00,2023-03-12T12:55:00,C9,7440345427,eng,,gulfnews.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Ara,,Muslim,AL,
62,/Event/7440345427/7440451821/7441586185/7443073690,7443073690,India,,,2023-03-11T10:34:00,2023-03-12T13:34:00,,7440345427,eng,,foxbusiness.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
63,/Event/7440345427/7440451821/7441586185/7443171434,7443171434,India,,,2023-03-11T10:34:00,2023-03-12T15:03:00,,7440345427,eng,,sputniknews.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
64,/Event/7440345427/7440451821/7441586185/7443263554,7443263554,India,USA,C4,2023-03-11T10:34:00,2023-03-12T16:30:00,C2,7440345427,eng,,pbs.org,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,Eng,NATO,Christian,,NAFTA
65,/Event/7440345427/7440451821/7441586185/7443390168,7443390168,India,USA,C4,2023-03-11T10:34:00,2023-03-12T18:44:00,C2,7440345427,eng,,rare.us,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,Eng,NATO,Christian,,NAFTA
66,/Event/7440345427/7440451821/7441586185/7443412528,7443412528,India,NZ,C4,2023-03-11T10:34:00,2023-03-12T19:01:00,C2,7440345427,eng,Center-left,stuff.co.nz,ChatGPT,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AU,Eng,,Irreligion,PIF,
67,/Event/7440345427/7440451821/7441586185/7443425151,7443425151,India,,,2023-03-11T10:34:00,2023-03-12T19:16:00,,7440345427,eng,,news.yahoo.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
68,/Event/7440345427/7440451821/7441586185/7443517809,7443517809,India,USA,C4,2023-03-11T10:34:00,2023-03-12T21:03:00,C2,7440345427,eng,,mynorthwest.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,Eng,NATO,Christian,,NAFTA
