source.uri,country,language,Political-Alignment,wiki-url,Cultural-Class,Economic-Class
unb.com.bd,Bangladesh,unknown,unknown,unknown,C20,C5
cbc.bb,Barbados,unknown,unknown,unknown,unknown,unknown
belaruspartisan.by,Belarus,unknown,unknown,unknown,C16,C12
belaruspartisan.org,Belarus,unknown,unknown,unknown,C16,C12
belta.by,Belarus,unknown,unknown,unknown,C16,C12
gazetaby.com,Belarus,unknown,unknown,unknown,C16,C12
m.eng.belta.by,Belarus,unknown,unknown,unknown,C16,C12
brusselstimes.com,Belgium,English,unknown,unknown,C14,C2
theparliamentmagazine.eu,Belgium,English,unknown,unknown,C14,C2
lameuse.be,Belgium,French,unknown,unknown,C14,C2
grenzecho.net,Belgium,German,unknown,unknown,C14,C2
cor.europa.eu,Belgium,unknown,unknown,unknown,C14,C2
dailyemerald.com,Belgium,unknown,unknown,unknown,C14,C2
dhnet.be,Belgium,unknown,unknown,unknown,C14,C2
eesc.europa.eu,Belgium,unknown,unknown,unknown,C14,C2
eureporter.co,Belgium,unknown,unknown,unknown,C14,C2
friendsofeurope.org,Belgium,unknown,unknown,unknown,C14,C2
lesoir.be,Belgium,unknown,unknown,unknown,C14,C2
nato.int,Belgium,unknown,unknown,unknown,C14,C2
proximus.be,Belgium,unknown,unknown,unknown,C14,C2
rtbf.be,Belgium,unknown,unknown,unknown,C14,C2
skynet.be,Belgium,unknown,unknown,unknown,C14,C2
euractiv.com,"Belgium-France-United-Kingdom-Germany-Spain-Italy-Poland-Slovakia-Czech-Republic-Greece-Bulgaria-Romania-Croatia-Serbia","English-French-German-Spanish-Italian-Polish-Slovak-Czech-Greek-Bulgarian-Romanian-&-Serbian",unknown,unknown,unknown,unknown
euractiv.it,"Belgium-France-United-Kingdom-Germany-Spain-Italy-Poland-Slovakia-Czech-Republic-Greece-Bulgaria-Romania-Croatia-Serbia","English-French-German-Spanish-Italian-Polish-Slovak-Czech-Greek-Bulgarian-Romanian-&-Serbian",unknown,unknown,unknown,unknown
euractiv.rs,"Belgium-France-United-Kingdom-Germany-Spain-Italy-Poland-Slovakia-Czech-Republic-Greece-Bulgaria-Romania-Croatia-Serbia","English-French-German-Spanish-Italian-Polish-Slovak-Czech-Greek-Bulgarian-Romanian-&-Serbian",unknown,unknown,unknown,unknown
euroefe.euractiv.es,"Belgium-France-United-Kingdom-Germany-Spain-Italy-Poland-Slovakia-Czech-Republic-Greece-Bulgaria-Romania-Croatia-Serbia","English-French-German-Spanish-Italian-Polish-Slovak-Czech-Greek-Bulgarian-Romanian-&-Serbian",unknown,unknown,unknown,unknown
edition.channel5belize.com,Belize,unknown,unknown,unknown,unknown,unknown
kuenselonline.com,Bhutan,Dzongkha-and-English,unknown,unknown,unknown,unknown
eldeber.com.bo,Bolivia,Spanish,unknown,unknown,C13,C20
jornada.com.bo,Bolivia,Spanish,unknown,unknown,C13,C20
lostiempos.com,Bolivia,unknown,unknown,unknown,C13,C20
paginasiete.bo,Bolivia,unknown,unknown,unknown,C13,C20
reduno.com.bo,Bolivia,unknown,unknown,unknown,C13,C20
unitel.tv,Bolivia,unknown,unknown,unknown,C13,C20
dnevni-list.ba,Bosnia,Croatian,Centreright,https://en.wikipedia.org/wiki/Dnevni_list,unknown,unknown
nezavisne.com,Bosnia,"Bosnian-Serbian",Liberal,https://en.wikipedia.org/wiki/Nezavisne_vine,unknown,unknown
avaz.ba,Bosnia,Bosnian,unknown,unknown,unknown,unknown
atvbl.com,Bosnia,unknown,unknown,unknown,unknown,unknown
bhrt.ba,Bosnia,unknown,unknown,unknown,unknown,unknown
bih.banke-biznis.com,Bosnia,unknown,unknown,unknown,unknown,unknown
fena.ba,Bosnia,unknown,unknown,unknown,unknown,unknown
hayat.ba,Bosnia,unknown,unknown,unknown,unknown,unknown
rtvhit.com,Bosnia,unknown,unknown,unknown,unknown,unknown
rtvslobomir.com,Bosnia,unknown,unknown,unknown,unknown,unknown
folha.uol.com.br,Brazil,PortugueseEnglishSpanish,Pluralism-npartisanism,https://en.wikipedia.org/wiki/Folha_de_S.Paulo,C14,C19
